file_id,cluster_id_x,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,cluster_id_y,ivd_t5,pairs_t5,sentences_t5,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_paraphrase_hdbscan_60,2.0,0.471021043,0.348073506,0.0285714286,0.333333333,0.522629648,0.249555432,0.1,0.566666667,0.437860871,0,0.0666666667,,2.0,1.523809524,3.857142857,2.285714286,0.861966605,8.142857143,9.142857143,0.833333333,0.833333333,1,2.0,0.0751022827,0.713531612,0.123801267,0.693249531,0.0862048873,0.814643798
cluster_paraphrase_kmeans_10,4.5,0.484749493,0.274336675,0.04,0.42,0.545886949,0.262728101,0.15,0.58,0.419481973,0,0.06,,4.5,1.641666667,3.8,2.5,1.283396465,12.1,9.8,1.2,1.2,1,4.5,0.0761134132,0.751400147,0.120531178,0.694288854,0.100120883,0.803932703
cluster_paraphrase_kmeans_15,7.0,0.45811709,0.312491,0.0733333333,0.386666667,0.539220868,0.270614945,0.1,0.571296296,0.392951337,0,0.0533333333,,7.0,1.781462585,4.6,2.8,1.327847523,10.66666667,8.4,1.8,1.8,1,7.0,0.0762764091,0.739265806,0.125594733,0.710573725,0.0899675008,0.808283759
cluster_paraphrase_kmeans_20,9.5,0.446551316,0.275286572,0.04,0.402777778,0.538439547,0.266507346,0.095,0.622777778,0.415921026,0,0.035,,9.5,1.329824561,3.35,2.8,1.183162671,9.7,8.55,2.15,2.15,1,9.5,0.0865661122,0.724457001,0.135633223,0.693143765,0.107143166,0.808623051
cluster_t5_hdbscan_100,0.0,0.464514762,0.452527285,0.0,0.25,0.497795721,0.264691085,0.166666667,0.4,0.287755623,0,0.0,,0.0,1.5,3.0,2.333333333,1.083333333,16.66666667,14.33333333,0.0,0.0,1,0.0,0.121158748,0.736692604,0.154135784,0.68888693,0.0491813793,0.821349264
cluster_t5_hdbscan_2,265.0,0.622732626,0.288528953,0.0339587242,0.556550603,0.728907577,0.285235192,0.0919324578,0.908814447,0.541021775,0,0.0257518797,,265.0,1.323840852,2.924953096,2.255159475,1.313266747,10.2326454,8.416510319,1.263157895,1.263157895,1,265.0,0.256697731,0.647573767,0.478644283,0.519798914,0.20282794,0.788759144
cluster_t5_hdbscan_30,4.0,0.490820836,0.30552091,0.0272727273,0.475555556,0.53830567,0.275574913,0.1,0.571111111,0.377030548,0,0.05,,4.0,1.0,2.545454545,2.727272727,1.180194805,10.09090909,8.636363636,0.2,0.2,1,4.0,0.107205475,0.727296619,0.200271063,0.676604929,0.0964456373,0.811935982
cluster_t5_hdbscan_35,0.0,0.45018521,0.436445494,0.0,0.3,0.490885278,0.261131813,0.166666667,0.4,0.288292766,0,0.0,,0.0,2.722222222,5.666666667,2.333333333,1.222222222,15.0,12.0,0.0,0.0,1,0.0,0.0861380422,0.731347043,0.152256092,0.701643352,0.0491813793,0.821349264
cluster_t5_hdbscan_40,0.0,0.440095832,0.343196268,0.0,0.3,0.491778016,0.261131813,0.166666667,0.4,0.288223475,0,0.0,,0.0,1.444444444,3.333333333,2.666666667,1.222222222,15.0,12.0,0.0,0.0,1,0.0,0.0756439468,0.75373051,0.152256092,0.701643352,0.0491813793,0.821349264
cluster_t5_hdbscan_45,0.0,0.445813318,0.398272336,0.0333333333,0.25,0.487151782,0.275678724,0.166666667,0.4,0.287721828,0,0.0,,0.0,1.888888889,5.666666667,3.0,1.2,15.33333333,12.33333333,0.0,0.0,1,0.0,0.0775036478,0.729902718,0.146560842,0.699112041,0.0491813793,0.821349264
cluster_t5_hdbscan_50,0.0,0.446267734,0.346454153,0.0333333333,0.25,0.492708047,0.267540018,0.166666667,0.4,0.287624806,0,0.0,,0.0,1.777777778,5.0,2.666666667,1.0,14.0,13.0,0.0,0.0,1,0.0,0.0847274486,0.732310914,0.166092387,0.689043008,0.0491813793,0.821349264
cluster_t5_hdbscan_55,0.0,0.443408002,0.322194457,0.0333333333,0.25,0.491387308,0.28892227,0.166666667,0.4,0.287593931,0,0.0,,0.0,1.222222222,3.666666667,2.333333333,1.083333333,13.33333333,11.66666667,0.0,0.0,1,0.0,0.0784631482,0.747799825,0.138616283,0.691835092,0.0491813793,0.821349264
cluster_t5_hdbscan_60,0.0,0.434424192,0.372608274,0.0666666667,0.25,0.501682798,0.267540018,0.166666667,0.4,0.287241146,0,0.0,,0.0,1.888888889,4.0,2.333333333,1.0,14.0,13.0,0.0,0.0,1,0.0,0.100697939,0.721659735,0.166092387,0.689043008,0.0491813793,0.821349264
cluster_t5_kmeans_10,4.5,0.468205746,0.242821223,0.04,0.44,0.515220469,0.290196176,0.13,0.52,0.360430798,0,0.05,,4.5,1.05,2.6,2.5,1.314668665,10.8,8.7,3.5,3.5,1,4.5,0.0741506725,0.732496646,0.194140761,0.673120936,0.0869185974,0.821895377
cluster_t5_kmeans_15,7.0,0.438316543,0.286901916,0.0533333333,0.366666667,0.535130775,0.277986114,0.0866666667,0.566666667,0.389799216,0,0.0333333333,,7.0,1.636904762,3.333333333,2.4,1.368448033,11.66666667,9.6,1.733333333,1.733333333,1,7.0,0.0719177317,0.732658047,0.153624232,0.679178737,0.0612493808,0.824044797
