file_id,cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert
cluster_paraphrase_hdbscan_60,2,0.471021043,0.348073506,0.0285714286,0.333333333,0.522629648,0.249555432,0.1,0.566666667,0.437860871,0,0.0666666667,
cluster_paraphrase_kmeans_10,4.5,0.484749493,0.274336675,0.04,0.42,0.545886949,0.262728101,0.15,0.58,0.419481973,0,0.06,
cluster_paraphrase_kmeans_15,7,0.45811709,0.312491,0.0733333333,0.386666667,0.539220868,0.270614945,0.1,0.571296296,0.392951337,0,0.0533333333,
cluster_paraphrase_kmeans_20,9.5,0.446551316,0.275286572,0.04,0.402777778,0.538439547,0.266507346,0.095,0.622777778,0.415921026,0,0.035,
cluster_t5_hdbscan_100,0,0.464514762,0.452527285,0,0.25,0.497795721,0.264691085,0.166666667,0.4,0.287755623,0,0,
cluster_t5_hdbscan_2,265,0.622732626,0.288528953,0.0339587242,0.556550603,0.728907577,0.285235192,0.0919324578,0.908814447,0.541021775,0,0.0257518797,
cluster_t5_hdbscan_30,4,0.490820836,0.30552091,0.0272727273,0.475555556,0.53830567,0.275574913,0.1,0.571111111,0.377030548,0,0.05,
cluster_t5_hdbscan_35,0,0.45018521,0.436445494,0,0.3,0.490885278,0.261131813,0.166666667,0.4,0.288292766,0,0,
cluster_t5_hdbscan_40,0,0.440095832,0.343196268,0,0.3,0.491778016,0.261131813,0.166666667,0.4,0.288223475,0,0,
cluster_t5_hdbscan_45,0,0.445813318,0.398272336,0.0333333333,0.25,0.487151782,0.275678724,0.166666667,0.4,0.287721828,0,0,
cluster_t5_hdbscan_50,0,0.446267734,0.346454153,0.0333333333,0.25,0.492708047,0.267540018,0.166666667,0.4,0.287624806,0,0,
cluster_t5_hdbscan_55,0,0.443408002,0.322194457,0.0333333333,0.25,0.491387308,0.28892227,0.166666667,0.4,0.287593931,0,0,
cluster_t5_hdbscan_60,0,0.434424192,0.372608274,0.0666666667,0.25,0.501682798,0.267540018,0.166666667,0.4,0.287241146,0,0,
cluster_t5_kmeans_10,4.5,0.468205746,0.242821223,0.04,0.44,0.515220469,0.290196176,0.13,0.52,0.360430798,0,0.05,
cluster_t5_kmeans_15,7,0.438316543,0.286901916,0.0533333333,0.366666667,0.535130775,0.277986114,0.0866666667,0.566666667,0.389799216,0,0.0333333333,
cluster_t5_kmeans_20,9.5,0.465622298,0.328396978,0.08,0.41,0.532115065,0.271786975,0.105,0.555,0.387647375,0,0.035,
