cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,ivd_t5,file_id,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,ivd_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,ivd_keybert
79,0.6376553773880005,0.2443751096725464,0.0,0.8,0.6666666666666666,cluster_minilm_hdbscan_2,0.7605949640274048,0.2777993083000183,0.1,1.0,0.8571428571428571,0.6559457778930664,0.0,0.0,,0.0
80,0.6700235605239868,0.12076965719461441,0.0,0.8888888888888888,0.3333333333333333,cluster_minilm_hdbscan_2,0.739859402179718,0.2104886770248413,0.2,1.0,0.8571428571428571,0.5454197525978088,0.0,0.1,,0.0
81,0.6868936419487,0.4350915849208832,0.0,0.7777777777777778,1.6666666666666667,cluster_minilm_hdbscan_2,0.7272682189941406,0.2237522304058075,0.0,1.0,0.625,0.5952407121658325,0.0,0.0,,1.0
82,0.6289448738098145,0.1880233734846115,0.1,0.9,0.0,cluster_minilm_hdbscan_2,0.6550918817520142,0.41295573115348816,0.1,1.0,0.5,0.5700305104255676,0.0,0.0,,1.0
83,0.4932078421115875,0.4399481415748596,0.1,0.7,0.5,cluster_minilm_hdbscan_2,0.5704057812690735,0.4567472040653229,0.3,0.8,1.75,0.501813530921936,0.0,0.0,,0.0
84,0.6644579768180847,0.12565813958644867,0.1,0.5,0.0,cluster_minilm_hdbscan_2,0.8006570339202881,0.19494298100471497,0.2,1.0,0.0,0.5742326378822327,0.0,0.0,,2.0
85,0.5414370894432068,0.0,0.1,0.3333333333333333,1.0,cluster_minilm_hdbscan_2,0.5487995147705078,0.1481393575668335,0.1,1.0,0.21052631578947367,0.3982561528682709,0.0,0.0,,1.0
86,0.6685218811035156,0.17994321882724762,0.0,0.6,0.5,cluster_minilm_hdbscan_2,0.7927936315536499,0.22952832281589508,0.1,1.0,0.5384615384615384,0.5910009741783142,0.0,0.0,,0.0
87,0.6382341384887695,0.0,0.0,0.5555555555555556,2.0,cluster_minilm_hdbscan_2,0.8249191641807556,0.4412756860256195,0.0,1.0,1.0,0.4457484185695648,0.0,0.0,,0.0
88,0.6626413464546204,0.44577035307884216,0.0,0.5,0.5,cluster_minilm_hdbscan_2,0.7894150018692017,0.35176318883895874,0.2,0.7,0.7777777777777778,0.5595639944076538,0.0,0.0,,1.0
89,0.39830833673477173,0.1242368221282959,0.0,0.2,0.5,cluster_minilm_hdbscan_2,0.8227649927139282,0.2586582601070404,0.2,1.0,0.5833333333333334,0.6909412145614624,0.0,0.0,,2.0
90,0.5342685580253601,0.09178799390792847,0.1,0.5,0.3333333333333333,cluster_minilm_hdbscan_2,0.7014309167861938,0.2685806155204773,0.1,1.0,0.5714285714285714,0.46774616837501526,0.0,0.0,,0.0
91,0.5993334054946899,0.36772021651268005,0.0,0.6,0.5,cluster_minilm_hdbscan_2,0.6670326590538025,0.2949749529361725,0.0,0.9,0.6666666666666666,0.5654809474945068,0.0,0.0,,0.0
92,0.6472362875938416,0.5505465269088745,0.0,0.9,1.5,cluster_minilm_hdbscan_2,0.7198500633239746,0.35925522446632385,0.2,0.9,1.25,0.6482813358306885,0.0,0.0,,0.0
93,0.6838690042495728,0.20719699561595917,0.0,0.9,0.25,cluster_minilm_hdbscan_2,0.7324733734130859,0.18007156252861023,0.0,1.0,0.375,0.5607936978340149,0.0,0.0,,0.0
94,0.628646969795227,0.4233265817165375,0.0,0.5555555555555556,0.0,cluster_minilm_hdbscan_2,0.8350365161895752,0.2394215613603592,0.2,1.0,0.6,0.5707805156707764,0.0,0.0,,1.0
95,0.7799192667007446,0.28182053565979004,0.0,0.8,1.0,cluster_minilm_hdbscan_2,0.8058222532272339,0.28818392753601074,0.3,1.0,0.609375,0.48073211312294006,0.0,0.0,,1.0
96,0.6826722621917725,0.6119948029518127,0.0,0.5,1.5,cluster_minilm_hdbscan_2,0.7229758501052856,0.3260819613933563,0.2,1.0,1.037037037037037,0.4827474057674408,0.0,0.0,,0.0
97,0.6147811412811279,0.19381964206695557,0.0,0.8,0.3333333333333333,cluster_minilm_hdbscan_2,0.6932346224784851,0.23934721946716309,0.1,0.9,0.7272727272727273,0.5736899971961975,0.0,0.1,,0.0
98,0.7623723149299622,0.6198510527610779,0.0,0.9,0.5,cluster_minilm_hdbscan_2,0.830154538154602,0.38773974776268005,0.0,1.0,1.3333333333333333,0.6539313793182373,0.0,0.0,,0.0
99,0.5657143592834473,0.2702215909957886,0.0,0.3,0.0,cluster_minilm_hdbscan_2,0.6436784267425537,0.33950355648994446,0.1,1.0,1.0,0.436790406703949,0.0,0.0,,0.0
100,0.6779768466949463,0.46955353021621704,0.0,0.5,2.0,cluster_minilm_hdbscan_2,0.7697398066520691,0.4127502143383026,0.2,1.0,0.6666666666666666,0.6909451484680176,0.0,0.0,,1.0
101,0.4333304464817047,0.5802054405212402,0.0,0.9,0.6666666666666666,cluster_minilm_hdbscan_2,0.5253928303718567,0.2600522041320801,0.0,0.8,0.5454545454545454,0.29999950528144836,0.0,0.0,,0.0
102,0.6810088157653809,0.27453991770744324,0.1,0.4444444444444444,0.0,cluster_minilm_hdbscan_2,0.6721334457397461,0.22894729673862457,0.2,1.0,0.3,0.4238460958003998,0.0,0.1,,1.0
103,0.4137202799320221,0.10821640491485596,0.0,0.0,0.0,cluster_minilm_hdbscan_2,0.6498475074768066,0.1692366749048233,0.1,0.9,0.20512820512820512,0.48266592621803284,0.0,0.0,,2.0
104,0.6042146682739258,0.15685278177261353,0.1,0.5555555555555556,0.25,cluster_minilm_hdbscan_2,0.7097271680831909,0.1722574532032013,0.1,1.0,0.42857142857142855,0.4527214467525482,0.0,0.1,,0.0
105,0.6597483158111572,0.5642885565757751,0.2,0.4,2.0,cluster_minilm_hdbscan_2,0.759620189666748,0.23517820239067078,0.2,1.0,0.8888888888888888,0.4830886721611023,0.0,0.0,,3.0
106,0.5685430765151978,0.0781024917960167,0.0,0.5,0.6666666666666666,cluster_minilm_hdbscan_2,0.7012760043144226,0.2095961719751358,0.1,1.0,0.5625,0.4880748987197876,0.0,0.1,,0.0
107,0.6873632669448853,0.37419629096984863,0.0,0.8888888888888888,0.3333333333333333,cluster_minilm_hdbscan_2,0.7594467997550964,0.23149047791957855,0.0,1.0,0.4,0.512474000453949,0.0,0.0,,0.0
108,0.7703386545181274,0.5822734832763672,0.0,0.6,0.5,cluster_minilm_hdbscan_2,0.7702165246009827,0.34495240449905396,0.0,0.8,0.5454545454545454,0.6488434076309204,0.0,0.0,,0.0
109,0.7358688712120056,0.4127199947834015,0.0,0.4,1.0,cluster_minilm_hdbscan_2,0.8477715849876404,0.24393510818481445,0.0,1.0,0.42857142857142855,0.5712275505065918,0.0,0.0,,2.0
110,0.6882737874984741,0.16324055194854736,0.0,0.8,0.75,cluster_minilm_hdbscan_2,0.7686754465103149,0.24794356524944305,0.0,1.0,0.46153846153846156,0.5915271639823914,0.0,0.0,,0.0
